id,pH,Sodium,Magnesium,Calcium,Chloride,Potassium,Carbonate,Sulphate,TDS,EC,TH,WQI,Potability
L1,7.26,77.51,32.55,81.4,63.55,1.95,419.68,68.16,640,1045,338,70.51,0
L2,7.54,36.11,31.1,42.4,19.53,1.56,273.28,57.12,400,645,234,48.31,1
L3,7.66,119.37,19,58.2,60.71,1.17,195.2,220.8,640,998,224,55.70,0
L4,5.98,117.07,29.65,145.4,37.28,2.73,580.72,190.08,950,1516,486,97.02,0
L5,7.02,45.08,23.35,49.6,23.43,1.17,248.88,74.88,410,658,220,46.45,1
L6,6.97,73.37,33.03,50.4,35.15,2.34,346.48,83.04,540,875,262,58.79,0
L7,7.16,121.9,29.65,67.8,47.22,1.17,195.2,310.08,740,1153,292,63.31,0
L8,7.34,54.05,16.58,56.6,24.5,1.17,297.68,45.12,420,676,210,48.35,1
L9,7.27,55.2,25.29,68.6,45.09,1.95,307.44,74.88,510,817,276,57.01,0
L10,7.21,59.8,32.55,57.4,31.24,3.12,341.6,80.16,530,848,278,59.62,0
L11,7.58,64.63,30.61,44.8,27.34,2.73,307.44,81.12,490,786,238,54.51,0
L12,7.13,80.96,27.71,98.2,66.74,1.95,458.72,60,680,1098,360,74.68,0
L13,7.36,23.23,34,42.4,15.62,1.17,263.52,52.8,370,613,246,47.11,1
L14,7.22,62.1,26.26,55.2,32.31,1.56,326.96,61.92,490,788,246,54.58,0
L15,7.31,37.95,20.45,68.6,29.47,1.56,307.44,39.84,430,698,256,52.13,0
L16,7.26,67.39,21.9,63,27.34,1.56,297.68,104.16,510,815,248,54.66,0
L17,7.35,82.57,14.64,40.8,29.47,1.56,263.52,79.2,440,706,162,45.76,1
L18,7.32,25.99,9.68,39.2,13.85,0.78,180.56,24.96,250,402,138,32.45,1
L19,7.43,32.2,7.74,48,22.72,0.78,195.2,26.88,280,458,152,35.47,1
L20,7.51,41.4,7.74,46.4,14.56,1.17,195.2,52.8,310,494,148,36.59,1
L21,7.47,114.77,24.32,81.4,47.22,1.56,258.64,260.16,730,1143,304,66.46,0
L22,7.44,28.29,8.71,41.6,15.62,0.78,185.44,24,260,417,140,33.26,1
L23,7.33,105.8,20.45,59,34.44,1.17,278.16,172.8,610,962,232,57.06,0
L24,7.46,21.85,10.65,47.2,10.65,0.78,204.96,23.04,270,434,162,35.57,1
L25,7.07,46.92,21.42,60.6,31.24,1.56,287.92,57.12,440,707,240,50.64,0
L26,7.32,33.81,7.74,52,16.69,0.78,165.92,70.08,310,490,162,35.90,1
L27,7.24,29.9,10.16,57.4,25.56,0.78,190.32,54.24,320,518,186,38.78,1
L28,7.37,78.66,14.16,41.6,31.24,0.78,200.08,116.16,440,693,162,42.79,1
L29,7.36,126.73,33.03,65.4,51.12,1.95,263.52,271.2,760,1190,300,67.74,0
L30,7.42,25.3,8.23,39.2,15.62,0.78,175.68,19.2,240,390,132,31.65,1
L31,7.33,5.75,21.78,90,17.75,0,335.5,25.44,430,672,315,54.65,0
L32,7.47,4.6,20.57,78,14.2,0,311.1,13.44,376,587,280,49.69,1
L33,7.48,4.6,16.94,76,10.65,0,292.8,13.44,354,553,260,46.91,1
L34,8.07,5.75,12.1,64,10.65,0,189.1,49.44,292,457,210,38.62,1
L35,7.19,25.07,18.15,90,28.4,0,335.5,36.96,465,715,300,55.31,0
L36,7.38,20.01,14.52,80,24.85,0,305,16.8,395,617,260,49.26,1
L37,8.03,4.6,20.57,58,14.2,0,244,18.24,316,493,230,42.36,1
L38,8.15,6.44,29.04,58,17.75,0,262.3,36.48,365,570,265,47.21,1
L39,7.7,7.36,18.15,90,17.75,0,305,38.4,412,644,300,52.52,0
L40,7.71,2.76,16.94,56,10.65,0,225.7,14.4,272,425,210,38.76,1
L41,7.55,8.97,33.88,92,17.75,0,408.7,27.36,519,798,370,63.82,0
L42,8.28,3.68,16.94,62,10.65,0,244,16.32,306,478,225,41.93,1
L43,7.62,2.76,18.15,54,10.65,0,225.7,14.4,283,442,210,38.83,1
L44,7.81,4.6,16.94,76,10.65,0,280.6,23.04,351,548,260,46.79,1
L45,8.04,3.68,19.36,54,10.65,0,231.8,16.32,295,461,215,40.14,1
L46,8.06,6.44,12.1,58,10.65,0,219.6,12.48,274,428,195,37.88,1
L47,7.71,1.38,15.73,52,7.1,0,213.5,11.52,265,414,195,36.71,1
L48,7.45,5.75,21.78,80,14.2,0,305,30.24,393,614,290,50.79,0
L49,7.68,4.6,16.94,72,10.65,0,280.6,13.44,342,534,250,45.56,1
L50,7.65,4.6,16.94,80,14.2,0,298.9,13.44,367,573,270,48.44,1
L51,7.97,5.75,25.41,76,14.2,0,305,35.04,401,626,295,51.82,0
L52,7.71,4.6,19.36,70,10.65,0,262.3,32.64,346,540,255,45.51,1
L53,7.35,11.73,33.88,100,24.85,0,408.7,42.72,550,846,390,66.32,0
L54,7.46,3.68,16.94,60,10.65,0,244,11.52,302,472,220,40.61,1
L55,7.66,2.76,18.15,50,7.1,0,225.7,9.6,269,420,200,37.66,1
L56,7.28,9.89,25.41,84,21.3,0,347.7,19.68,438,685,315,55.41,0
L57,8.18,2.07,10.89,66,10.65,0,225.7,12.96,284,444,210,39.45,1
L58,7.73,4.6,13.31,90,14.2,0,305,18.24,381,596,280,49.97,1
L59,7.51,3.68,15.73,68,7.1,0,268.4,11.52,319,499,235,43.14,1
L60,8,5.06,26.62,70,14.2,0,317.2,14.4,384,600,285,50.92,0
L61,7.3,14.95,42.35,104,31.95,0,378.2,107.04,614,944,435,70.81,0
L62,7.58,3.68,24.2,60,10.65,0,274.5,16.32,336,525,250,44.97,1
L63,7.63,5.75,12.1,60,10.65,0,219.6,15.84,281,439,200,38.01,1
L64,7.74,2.76,16.94,54,10.65,0,219.6,14.4,276,432,205,38.18,1
L65,7.27,25.07,22.99,80,24.85,0,359.9,17.76,463,712,295,55.52,0
L66,7.54,3.68,24.2,56,10.65,0,262.3,16.32,323,505,240,43.38,1
L67,7.54,4.6,25.41,74,10.65,0,323.3,18.24,388,607,290,51.19,0
L68,7.56,7.36,25.41,74,14.2,0,329.4,14.4,401,627,290,51.85,0
L69,7.83,2.76,15.73,54,10.65,0,213.5,14.4,268,418,200,37.48,1
L70,7.29,7.36,24.2,82,17.75,0,341.6,14.4,420,656,305,53.77,0
L71,7.84,7.36,10.89,60,10.65,0,219.6,14.4,275,430,195,37.79,1
L72,7.74,8.97,20.57,76,10.65,0,305,27.36,383,598,275,49.73,1
L73,7.42,5.75,25.41,74,17.75,0,317.2,15.84,392,612,290,51.08,0
L74,7.63,4.6,22.99,70,10.65,0,298.9,18.24,364,569,270,48.25,1
L75,7.46,5.75,24.2,68,17.75,0,292.8,15.84,372,581,270,48.14,1
L76,7.58,4.6,22.99,80,10.65,0,329.4,18.24,397,620,295,52.08,0
L77,7.56,7.36,24.2,78,14.2,0,335.5,14.4,405,633,295,52.61,0
L78,7.53,8.97,18.15,84,17.75,0,317.2,17.76,398,622,285,51.20,0
L79,7.34,3.68,21.78,60,10.65,0,262.3,16.32,324,506,240,43.25,1
L80,7.87,2.76,24.2,48,10.65,0,237.9,14.4,274,428,220,40.15,1
L81,7.34,4.6,19.36,70,10.65,0,280.6,18.24,344,538,255,45.71,1
L82,7.62,7.36,18.15,48,10.65,0,219.6,14.4,279,436,195,37.51,1
L83,7.59,5.75,15.73,58,10.65,0,231.8,15.84,292,457,210,39.43,1
L84,7.57,14.95,38.72,110,31.95,0,396.5,92.64,616,497,435,69.33,0
L85,7.06,6.44,27.83,76,10.65,0,335.5,26.88,414,647,305,53.08,0
L86,7.52,2.76,20.57,48,10.65,0,219.6,14.4,278,435,205,37.94,1
L87,7.33,4.6,25.41,50,10.65,0,244,23.04,312,487,230,41.53,1
L88,7.23,9.89,36.3,96,17.75,0,451.4,14.88,541,833,390,67.16,0
L89,7.26,8.05,29.04,88,21.3,0,305,59.04,470,723,340,56.43,0
L90,7.21,5.75,29.04,80,10.65,0,353.8,25.44,431,673,320,55.42,0
L91,7.53,432,347,436,406.54,71,0,4.6,1036,1480,0,224.59,0
L92,7.45,553,432,665,1518.9,45,0,1,1690.5,2415,450,310.76,0
L93,7.59,675,543,453,1217.8,33,0,7,2430.4,3472,575,307.87,0
L94,7.5,575,674,765,900,39,0,1,3340.4,4772,100,359.13,0
L95,6.93,775,990,432,4700,110,0,200,11619,16598,1400,722.69,0
L96,7.17,453,643,543,1110.3,53,0,4.2,1414,2020,0,305.43,0
L97,6.92,667,643,564,563.35,45,0,4.5,2534,3620,0,311.88,0
L98,8.02,876,643,543,686.54,23,0,2,1115.1,1593,175,290.60,0
L99,7.75,389,222.75,541,425.35,33,0,1,1321.6,1888,475,203.43,0
L100,8.02,314.43,543,423,1310.5,78,0,100,5378.8,7684,625,373.21,0
L101,7.61,1157.8,215.21,445,1082,90,0,2,1425.2,2036,500,290.67,0
L102,6.82,1066.5,765,665,1557.8,75,0,150,5412.4,7732,825,488.67,0
L103,7.74,373.09,356.86,453,413.44,78,0,5.2,1820,2600,0,243.41,0
L104,6.94,234,422.55,345,1200,54,0,5.4,1204.7,1721,540,247.85,0
L105,6.8,609.23,290.9,234,1160,67,0,19.7,1127,1610,700,239.95,0
L106,7.19,343,287.84,342,0,32,0,0,707,1010,380,162.63,0
L107,7.57,675,316.1,675,120,52.88,0,8.5,1349.6,1928,420,254.18,0
L108,7.53,426.9,465.04,543,1040,56,0,125,4256.7,6081,675,338.27,0
L109,7.38,335.89,345.83,342,920,63,0,25,1241.8,1774,660,241.47,0
L110,7.07,347.9,482.88,453,624,78,0,5,1961.4,2802,325,282.93,0
L111,7.11,280.89,408.11,345,3200,71,0,150,5667.2,8096,500,390.32,0
L112,7.2,654.45,483.61,347,388,52,0,50,1302,1860,350,248.96,0
L113,7.27,456.67,392.7,439,388,73,0,50,1302,1860,350,250.57,0
L114,7.08,407.23,703.14,1007,2320,75,0,80,7051.8,10074,1100,544.25,0
L115,6.97,980.81,237.4,654,0,54,0,0,2044,2920,700,266.77,0
L116,7.03,702.89,267.54,345,0,77,0,0,1582,2260,640,230.80,0
L117,7.47,306.9,277.24,453,960,72,0,40,2205,3150,900,271.45,0
L118,7.75,656.9,275.26,654,880,53,0,40,2128,3040,880,293.03,0
L119,7.57,689.03,291.14,654,2320,43,0,80,2331,3330,950,339.21,0
L120,7.38,237.81,402.83,564,560,47,0,43,1201.9,1717,420,243.70,0
L121,7.11,345.9,369.31,1158,2320,93,0,150,4346.3,6209,750,462.24,0
L122,6.88,758.07,675.09,456.6,1840,98,0,200,6934.9,9907,400,470.27,0
L123,7.38,934.89,287.84,456,1314.4,45,0,0,1092,1560,340,257.86,0
L124,6.83,403.65,316.1,702.9,307.81,57,0,0.4,861,1230,0,233.04,0
L125,8.3,278.01,160.56,758.1,436.54,54,0,0.9,784,1120,0,207.58,0
L126,7.1,389.01,184.23,904.9,265.35,58,0,8.8,834.4,1192,482,246.96,0
L127,7.1,323.09,188.55,506.8,467.77,61,0,8.8,834.4,1192,482,204.90,0
L128,7.85,200.78,267.95,889,624.43,62,0,3.9,763,1090,0,250.53,0
L129,7.13,567.04,257.5,979.4,211.81,43,0,12.7,868,1240,0,250.42,0
L130,7.18,484.09,262.8,654.5,848.35,64,0,4.6,833,1190,0,242.80,0
L131,7.73,403.65,350.45,234,1186.9,65,0,7,815.5,1165,248,222.93,0
L132,8.11,334.89,695.17,345,177.88,53,0,2.5,815.5,1165,220,255.70,0
L133,8.21,334.9,522.55,456,784.43,30,0,8,835.1,1193,260,240.43,0
L134,7.89,526.78,390.9,567,1757.8,59,0,1.2,882,1260,328,292.48,0
L135,7.08,489.02,387.84,389,666.54,60,0,0,700,1000,480,237.38,0
L136,7.27,209.78,416.1,29.01,1657.8,55,0,0,672,960,360,208.56,0
L137,7.51,403.09,287.84,239.4,1246.8,75,0,13.8,801.5,1145,500,228.91,0
L138,7.28,298.01,316.1,207.1,614.43,53,0,7.8,987,1410,460,190.81,0
L139,7.3,178.9,460.56,373.1,157.81,75,0,11.8,964.6,1378,420,233.15,0
L140,7.27,302.82,384.23,407,1566.5,61,0,5.8,814.8,1164,560,262.93,0
L141,7.3,909.37,488.55,609.2,1890.6,71,0,3.9,966,1380,660,356.69,0
L142,7.14,314.43,367.95,176.5,199.8,64,0,16.7,1092,1560,920,208.61,0
L143,7.18,767.81,158.45,345.9,80,66,0,8,884.1,1263,420,191.11,0
L144,7.4,666.54,109.08,126.9,0,37,0,0,714,1020,460,125.28,0
L145,7.4,252.35,107.94,135.9,0,68,0,0,763,1090,440,130.96,0
L146,8.54,506.8,118.53,334.9,33,16.09,0,18,536.9,767,360,125.78,0
L147,8.46,206.8,60.21,28.89,32,19.15,0,7,488.6,698,140,59.06,0
L148,6.99,403.9,69.09,54.45,0,12.77,0,0,700,1000,400,76.52,0
L149,8.41,123,70.71,56.67,37,22.71,0,17,650.3,929,188,67.42,0
L150,6.41,176,62.98,40.23,44,16,0,5,924.7,1321,164,62.92,0
L151,7.05,198,181.35,107.8,0,23,0,28.4,833,1190,0,92.26,0
L152,7.04,120,147.26,107.2,0,15,0,50,560,800,400,84.74,0
L153,6.41,217,151.18,178.6,44,11,0,5,924.7,1321,164,93.80,0
L154,6.77,127,89.03,27.01,0,15,0,0,819,1170,560,72.37,0
L155,7.02,120,100.32,38.01,0,23,0,0,714,1020,480,77.71,0
L156,6.77,187,103.96,23.09,0,22,0,0,819,1170,560,82.64,0
L157,7.25,90,103.22,20.78,0,12.09,0,5.8,630,900,0,51.02,0
L158,7.38,87,109.17,70.89,0,22.98,0,4.6,840,1200,0,69.59,0
L159,7.38,43,65.31,84.09,0,20.67,0,0,994,1420,580,79.30,0
L160,6.99,124,138.49,43.65,25,21.02,0,28,462,660,300,75.97,0
L161,6.62,137,151.06,70.89,20,16.9,0,5,359.1,513,288,76.18,0
L162,6.58,156,62.95,36.9,18,14.99,0,22,304.5,435,280,54.60,0
L163,7.45,167,109.08,66.9,22,25.02,0,12,364,520,244,75.29,0
L164,7.27,178,174.39,68.03,0,22.5,0,0,686,980,420,95.07,0
L165,7.57,188,129.68,27.81,40,10,0,15,596.4,852,208,67.03,0
L166,7.19,109,181.08,45.9,0,23.65,0,0,707,1010,380,90.37,0
L167,7.9,108,153.04,75.07,0,22.6,0,1.5,347.2,496,0,71.67,0
L168,7.19,178,96.56,94.89,0,15.9,0,1,399,570,0,62.02,0
L169,7.02,54,98.55,34.9,25,14.09,0,12,600.6,858,380,63.49,0
L170,6.95,98,281.42,56.78,12,10.94,0,15,275.8,394,188,87.84,0
L171,7.27,76,260.69,89.02,25,25.98,0,13,575.4,822,300,106.98,0
L172,7.68,54,96.13,20.78,20,11.08,0,9,396.2,566,240,52.11,0
L173,3.7,65,53.76,40.09,25,16.92,0,0.2,505.4,722,260,50.20,0
L174,7.51,50,54.55,98.01,32,17,0,7,513.1,733,188,58.59,0
L175,7.4,167,55.33,178.9,35,12.75,0,21,570.5,815,180,71.51,0
L176,7.7,32,56.12,30.82,45,25.16,0,14,668.5,955,180,58.92,0
L177,7.05,63,56.91,79.37,25,19.15,0,25,508.9,727,300,61.99,0
L178,9.08,86,57.69,31.44,20,17.77,0,9,375.2,536,224,53.45,0
L179,10.01,187,58.48,34.89,22,22.71,0,5,385,550,364,67.59,0
L180,7,65,59.27,32,45,15.42,0,61,556.5,795,460,60.73,0
L181,7.62,43,60.06,29.36,24,12.98,0,7,461.3,659,264,49.28,1
L182,7.63,33,60.84,32.09,23,11,0,2,431.9,617,316,48.82,1
L183,8.34,145,61.63,55.01,28,8.09,0,3,535.5,765,368,58.61,0
L184,7.61,122,62.42,43.01,24,7,0,2,481.6,688,364,53.66,0
L185,8.1,57,63.2,43.98,28,6,0,9,475.3,679,320,49.49,1
L186,8.22,96,63.99,22.56,30,11.03,0,7,559.3,799,340,54.64,0
L187,8.41,56,64.78,49.01,29,19.63,0,5,496.3,709,324,61.36,0
L188,8.09,78,65.56,88,23,9,0,7,428.4,612,288,56.60,0
L189,8.44,87,66.35,25.36,31,7.09,0,9,566.3,809,364,53.12,0
L190,8.22,90,67.14,23.09,30,14,0,7,559.3,799,340,57.26,0
L191,8.13,37.1,10,0,44.8,4.6,100.1,80,0,494,178.9,30.03,1
L192,8.07,35.1,18,0,52.1,4.8,117.1,78,0,537,186,32.90,1
L193,8.16,38.3,23,0,50.5,5.3,103.9,90,0,562,215.9,35.02,1
L194,8.34,37.4,25,0,55.6,5,111,81.1,0,570,202.5,35.24,1
L195,8.35,40.4,18,0,53.2,5.6,115.7,77.4,0,598,192.3,34.48,1
L196,8.22,51.1,13,0,59,10.6,80.2,77,0,629,210.3,36.99,1
L197,8.51,44.3,14,0,67.6,6,77.7,76.4,0,666,188.6,33.33,1
L198,8.59,49.4,10,0,74.3,6.5,109.4,62.5,0,656,165.6,33.93,1
L199,8.31,49.4,50,0,79.8,6.5,81.3,65.5,0,588,165.6,39.52,1
L200,8.45,49.4,10,0,82.1,6.5,84.7,67.1,0,615,165.6,32.77,1
L201,8.76,48,30,0,86.3,7,81.05,74.21,0,608.8,179.84,37.50,1
L202,8.64,54,20,0,85,7.4,113.07,76.5,0,627.2,186.5,37.91,1
L203,8.87,50,30,0,86.4,7,145.7,70.37,0,654.7,205.37,41.59,1
L204,8.61,53,40,0,95.2,7.7,140.11,74.75,0,639.6,220.13,44.29,1
L205,8.23,68,50,0,85.7,8.5,143.14,72.51,0,672.5,229.54,47.31,1
L206,8.28,57.75,20,0,91.8,8.79,149.27,70.55,0,683,207.23,41.46,1
L207,8.01,58.13,30,0,96.7,7.61,135.77,89.75,0,711.2,235.01,43.03,1
L208,8.11,57.9,30,0,92.4,7.88,136.15,49.12,0,695,190.67,41.03,1
L209,7.96,54.7,80,0,83.5,7.44,124.85,76,0,648.5,177.81,48.57,1
L210,8.27,57.41,20,0,86.4,8.07,132.58,74,0,652,180.89,39.07,1
L211,7.93,61,30,0,76,8.3,125.51,78,0,633.8,162.8,39.70,1
L212,7.64,56,30,0,78.5,9.2,132.63,78,0,648.8,156.96,40.18,1
L213,7.17,59,240,0,75.4,8.8,138.07,74,0,656.4,191.32,78.92,0
L214,8.59,72.3,30,0,81.1,10.27,137.95,76,0,634.6,199.89,44.13,1
L215,8.71,60.04,20,0,82.2,8.37,135.75,86,0,665.7,198,40.65,1
L216,8.75,85.84,10,0,76.8,12.8,135.17,84,0,665.6,204.12,43.36,1
L217,8.4,85.84,17.97,0,75.7,0,135.29,68,0,663.8,185.68,33.90,1
L218,8.27,52,62.5,0,93.1,7.8,127.94,74,0,658.8,151.23,45.47,1
L219,8.47,58.25,51,0,90.9,8.07,134.79,90,0,656.2,165.88,45.03,1
L220,8.13,58.25,5.01,0,94.8,0,125.88,0,0,663.7,175.91,28.65,1
L221,7.88,55.09,32.5,0,82.1,7.77,121.97,58.54,0,677.2,145.56,38.81,1
L222,8.06,46,137.26,0,66.1,8.2,127,51.66,0,473.5,144.04,56.43,0
L223,7.64,18,148.01,0,28.82,5,64,27.26,0,279.4,96.36,47.37,1
L224,7.25,13.91,104.44,0,13,4.68,62.72,26.55,0,245.1,82.45,37.50,1
L225,7.57,17.41,35.07,0,33.84,3.81,88.61,72.03,0,355,86.07,28.02,1
L226,7.95,25.52,41.98,0,0,4.51,94.9,78.3,0,440.2,102.89,30.87,1
L227,8,27.57,35.8,0,38.75,4.37,95.51,98.87,0,513.3,107.24,31.88,1
L228,8.1,39.57,10,0,64.99,5.79,104.47,81.71,0,1615,145.09,36.83,1
L229,8.31,43.12,22.72,0,42.17,6.1,103.67,92,0,606.2,209.95,35.77,1
L230,8.02,45.19,56.88,0,44.96,5.89,113.25,115.27,0,632,163.45,41.31,1
L231,7.99,45.19,30.25,0,49.02,5.89,122.1,91.38,0,657.2,163.45,36.67,1
L232,8.27,45.19,61,0,92.94,5.89,329.06,91.19,0,676,183.67,53.97,0
L233,8.05,54,64.2,0,68.81,7.2,106.15,63.71,0,682,187.84,44.53,1
L234,8.05,62,247.67,0,88.37,7.5,115.98,99.48,0,704.6,249.33,82.16,0
L235,8.16,62,43.25,0,95.05,7.5,139.89,89.35,0,715,230.7,45.69,1
