id,pH,Sodium,Magnesium,Calcium,Chloride,Potassium,Carbonate,Sulphate,TDS,EC,TH,WQI,Potability
L471,7.49,22,15.78,22.8,26.7,7.2,110.55,31,0,377.2,122.65,31.24,1
L472,7.29,16.38,13.94,18.82,25.3,7.99,104.68,32,0,333,105.04,29.52,1
L473,6.81,15.3,12.09,17.75,16.7,5.5,59.93,30.3,0,195.3,94.66,23.29,1
L474,6.84,10.93,9.29,11.28,8.52,3.73,79.1,14.48,0,241.6,66.86,20.22,1
L475,7.02,14,11.75,15.25,9.98,4,86,16.03,0,233.3,87.01,22.62,1
L476,6.63,9,8.75,12.75,16.82,4.2,60,0.71,0,165.5,68.27,19.14,1
L477,6.72,9.4,8.82,13.63,4.35,3.63,61.14,36.06,0,199,70.79,19.51,1
L478,6.86,9.44,8.36,13.63,6.7,2.77,60.15,29.78,0,205.1,68.87,18.79,1
L479,7.26,11.34,7.46,11.35,8.39,2.67,70.63,29.81,0,219.6,59.4,19.06,1
L480,7.33,26.94,8.3,15.58,11.11,4.35,70.78,20.65,0,244.3,73.45,22.25,1
L481,7.12,14.15,6.23,13.72,13.21,4.13,71.38,27.88,0,252.7,72.76,20.95,1
L482,7.1,14.39,9.9,19.07,9.68,4.01,79.86,47.31,0,271.4,88.82,23.38,1
L483,7.25,12.84,53.51,27.92,25,5,89.79,46.41,0,296.5,292.61,40.41,1
L484,7.32,10,12.5,17.51,25,8.3,108.38,31.8,0,309.8,185,31.52,1
L485,7.12,12.1,9.92,13.59,25,5.98,94.45,25.77,0,277.9,75.26,24.49,1
L486,7.2,11,13.79,16.53,25,5.2,90.15,20.77,0,279.6,98.71,25.42,1
L487,7.33,15,25.43,21.73,37,6.6,110.28,24.11,0,306.6,160.18,32.87,1
L488,7.58,14.3,17.44,19.89,25,6.6,128.59,30.45,0,322,122.32,30.92,1
L489,7.56,36.06,16.45,27.84,25,7.27,109.19,34.56,0,329,138.02,32.89,1
L490,7.66,21.8,16.24,23.21,25,5.5,104.89,37.33,0,336,125.58,29.91,1
L491,7.41,19.3,17,23.07,19.23,9.2,107.03,39.62,0,348.7,99.2,31.72,1
L492,7.71,20.9,19,26.17,25,8.3,115.11,39.13,0,363.3,90.5,32.48,1
L493,7.54,21,18.7,23.88,25,7.2,110.78,40.24,0,390,137.43,32.54,1
L494,7.57,39.71,24.3,10,25,10.27,108.73,47.97,0,413.5,125.9,34.91,1
L495,7.49,30.32,12.39,18.71,25.31,9.23,118.22,50.8,0,445,144.92,33.75,1
L496,7.62,0,17.01,28.92,25.11,8.95,128.46,61.62,0,493.5,143.03,35.21,1
L497,7.5,36.07,17.03,29.11,75.38,8.69,126.06,89.91,0,487,143.57,38.48,1
L498,7.5,30.58,17.54,24.68,25,7.65,114.61,59.22,0,456,134.66,33.96,1
L499,7.24,28.4,13.73,19.33,25,6.99,122.52,44.03,0,388.6,105.45,30.61,1
L500,7.95,30,15.1,20.5,24.8,7,135.2,50.5,0,400,100,32.33,1
L501,6.88,35.3,11.1,14.7,25,5,67.6,32.6,0,265.2,83,24.00,1
L502,7.01,20.34,13.07,17.55,25,5,132.7,35.56,0,319,98.22,27.90,1
L503,7.17,20.34,14.28,16.93,25,9,118.51,26.7,0,336.7,101.72,30.62,1
L504,7.27,32,14.9,20.3,26.89,12.5,98.62,32.76,0,316.86,109.89,33.83,1
L505,7.23,30.8,17.9,21.51,46.68,11.1,101.49,32.22,0,438.6,128.25,35.29,1
L506,7.09,28.3,16.38,20.4,30.23,12.2,122.06,46.11,0,430,121.02,35.89,1
L507,7.09,30.1,20.47,27.08,34.52,13.1,122,53.55,0,449,152.56,39.53,1
L508,7.09,36.3,15.96,27.63,36.95,15.3,194,52.39,0,453.3,135.44,43.56,1
L509,6.77,18.4,12.54,14.84,10.65,7,89.94,25.68,0,266,89.28,25.57,1
L510,6.25,22,14,17,10,5,124,1.6,0,236,99,25.48,1
L511,6.29,17,11,15,13,5,80,27,0,262.5,82,22.68,1
L512,6.8,13,9,10,6.7,6,69,13,0,273.5,61,21.24,1
L513,6.43,17,11,11,12,5,76,41,0,307.8,86,22.74,1
L514,6.41,19,13,17,16,7,141,3.3,0,271.6,96,27.91,1
L515,6.21,19,14,11,20,8,81,15,0,291,87,25.38,1
L516,6.87,20,12,13,17,15,99,3.6,0,344,95.4,32.28,1
L517,7.26,29,15,18,21,13,100,26,0,350.8,106,33.62,1
L518,7.38,27,12,15.3,22,12,108,40,0,359.5,89,32.19,1
L519,7.25,27,14,19.4,27,15.2,109,35,0,384.2,106,36.11,1
L520,7.06,26,10,13.6,18,11.8,109,23,0,358.3,77,30.37,1
L521,6.85,32,16,21.1,22,11.2,127,41,0,308.7,120,34.30,1
L522,7,18,10,15,5,2.7,96,43,0,291.4,80,22.34,1
L523,6.68,19,11,12.7,6.9,3.5,91,54,0,309.8,77,22.63,1
L524,6.66,14,24,49.7,17,1.6,208,15,0,307,224,37.15,1
L525,7.17,17.3,11,50,21.8,5.9,180.3,18.9,0,2.1,195,35.16,1
L526,6.96,24,12,2,23,6.8,95,31,0,315.3,84,25.00,1
L527,6.99,27,9.9,14.4,26,8.6,71,39,0,306,77,26.53,1
L528,7.18,22.35,16.47,10.09,9.06,0.21,4.34,2.08,2535,4609.1,0,56.48,0
L529,6.51,28.26,34.43,47.2,14.13,0.72,5.41,2.5,5645,10263.6,0,118.28,0
L530,6.92,14.52,3.77,6.23,12.86,0.31,3.84,1.48,1725,3136.4,0,39.25,1
L531,7.24,11.13,3.37,3.05,11.86,0.08,3.28,1.23,1300,2363.6,0,31.35,1
L532,7.35,8.7,5.06,3.88,3.16,0.49,1.8,0.98,1230,2236.4,0,30.52,1
L533,7.16,6.04,1.7,1.19,2.84,0.18,1.64,0.79,800,1454.5,0,21.59,1
L534,7.35,6.7,4.65,4.09,4.36,0.28,1.98,0.92,900,1636.4,0,24.55,1
L535,6.96,8.13,3.28,4.9,2.16,0.26,2.34,1.17,1194.5,2171.8,0,29.14,1
L536,7.45,8.7,1.61,1.95,4.52,0.28,2.36,1.48,1703,3096.4,0,37.85,1
L537,7.05,10.65,19.99,20.53,70.62,0.15,4.33,2.29,4015,7300,0,85.16,0
L538,7.52,7.74,2.95,1.72,4.96,0.15,5.66,0.87,800,1454.5,0,22.52,1
L539,7.39,9.26,4.87,4.46,17.98,0.28,7.87,2.04,2160,3927.3,0,47.29,1
L540,7.96,10,24.85,16.03,40.55,0.33,5.66,2.75,3770,6854.5,0,81.38,0
L541,7.8,9.26,27.68,20.84,86.24,0.15,7.54,2.66,3250,5909.1,0,74.63,0
L542,6.89,1.17,1.83,2.15,2.47,0.18,2.54,0,363,660,0,13.71,1
L543,7.49,1.04,8.8,10.22,20.52,0.21,5.16,0,170,309.1,0,13.86,1
L544,6.98,5.22,6.25,3.88,10.59,0.28,5.16,1.81,1340,2436.4,0,32.37,1
L545,7.16,33.91,42.88,29.91,131.77,0.9,3.61,4.99,7890,14345.5,0,161.09,0
L546,7.6,7.17,2.31,2.2,8.64,0.31,6.64,1.85,1345,2445.5,0,32.23,1
L547,7.89,2.13,1.82,2.05,5.74,0.23,7.54,0,829,1507.3,0,23.10,1
L548,7.58,1,2.68,4.41,5.33,0.18,5.9,0.15,565,1027.3,0,18.51,1
L549,7.55,8.57,27.69,20.14,50.28,0.69,6.07,2.5,4360,7927.3,0,92.73,0
L550,7.87,7.13,18.09,18.09,46.55,0.31,6.31,2.25,2610,4745.5,0,60.30,0
L551,7.14,5.35,10.87,9.12,47.68,0.36,4.1,2.33,2750,5000,0,59.53,0
L552,7.69,1,1.94,2.25,2.54,0.33,6.97,0.48,329.5,599.1,0,14.23,1
L553,7.17,2.35,2.48,1.7,10.9,0.28,5.98,0.81,1433.5,2606.4,0,33.11,1
L554,6.78,1.96,7.94,10.62,17.95,0.18,7.54,0.46,1115,2027.3,0,29.49,1
L555,7.59,6.65,14.52,9.94,33.26,0.33,7.3,0.98,2485,4518.2,0,55.86,0
L556,7.69,1,1.82,1.95,10.03,0.03,5.9,0.67,259,470.9,0,12.91,1
L557,6.9,8.7,6.72,8.27,19.13,0.28,7.3,2.21,2329.5,4235.5,0,50.55,0
L558,7.7,3,3.44,5.45,15.69,0.21,5.66,0.48,1435,2609.1,0,34.36,1
L559,8,2.52,3.53,4.45,15.21,0.18,5.57,0.94,1280,2327.3,0,31.80,1
L560,7.45,8,27,22.28,23.55,0.41,7.26,1.62,2493.5,4533.6,0,59.47,0
L561,8.2,3.87,8.99,10.44,24.81,0.23,7.11,1.31,1415.5,2573.6,0,36.52,1
L562,7.4,11.3,3.5,4.46,15.37,0.54,5.66,2.79,3360,6109.1,0,67.93,0
L563,7.52,7.78,7.38,9.39,22.81,0.36,7.11,5.35,2065,3754.5,0,46.99,1
L564,7.67,2.04,2.98,3.03,8.84,0.23,6.16,3.47,1300,2363.6,0,31.46,1
L565,7.38,6.78,2.37,2.88,8.73,0.26,7.14,4.87,1250,2272.7,0,30.50,1
L566,7.65,15.48,12.95,10.48,25.64,0.59,14.44,7.18,3270,5945.5,0,70.08,0
L567,7.54,7.04,2.65,3.42,11.83,0.31,6.85,1.1,1305,2372.7,0,31.78,1
L568,7.98,7.61,4.92,4.45,13.77,0.36,6.65,4.16,2340,4254.5,0,50.81,0
L569,6.86,5.22,1.93,2.73,10.34,0.26,4.53,1.62,1215,2209.1,0,29.11,1
L570,7.68,3.43,2.62,3.15,10.34,0.28,3.58,1.35,859,1561.8,0,23.78,1
L571,7.98,10,15.36,12.63,20.27,0.44,8.3,5.58,2777,5049.1,0,61.72,0
L572,7.9,7.61,9.93,8.83,20.48,0.33,6.86,0.67,2310,4200,0,51.78,0
L573,8.25,6.87,5.66,3.94,13.18,0.36,11.06,0.96,2270,4127.3,0,50.01,0
L574,7.22,4.35,11.96,10.46,22.59,0.26,8.76,1.12,1691.5,3075.5,0,40.97,1
L575,8.06,8.61,23.7,15.52,20.27,0.67,6.73,1.39,3489,6343.6,0,75.94,0
L576,8.5,9.13,12.09,8.9,18.03,0.46,6.73,2.46,2835,5154.5,0,61.95,0
L577,7.6,6.7,9.92,8.43,18.75,0.28,5.3,2.81,2462.5,4477.3,0,53.92,0
L578,8,36,33,36,14,4.5,342,3,364,560,225.2,51.51,0
L579,8.1,16,28,40,7.1,2.8,268,16,300,462,215.2,44.33,1
L580,8.1,35,39,32,28,4.4,317,10,380,585,240.2,52.21,0
L581,8.5,49,30,20,18,5.6,275,12,338,520,175.1,46.23,1
L582,8.1,37,36,68,28,5.2,421,31,490,754,320.3,66.00,0
L583,8,20,41,48,14,3.7,366,17,400,615,290.2,56.97,0
L584,8.2,37,39,48,43,4.4,310,17,430,662,280.2,56.60,0
L585,8.2,37,36,60,57,4.8,325,46,480,738,300.2,60.84,0
L586,8.2,10,19,28,7,2.4,195,2.2,214,320,150,33.80,1
L587,8,48,34,36,21,2.8,354,19,411,614,230,52.79,0
L588,7.9,13,27,36,7,3.8,268,4.3,285,426,200,43.12,1
L589,8,51,32,32,21,4.8,354,6.3,396,591,210,52.52,0
L590,8.1,17,41,20,14,4,268,18,316,472,220,45.79,1
L591,7.9,28,36,36,7,5.8,354,2.5,380,567,240,53.51,0
L592,8.2,24,58,56,28,3.8,427,47,529,790,380,69.85,0
L593,7.9,35,37,61,59,4.7,355,45,473,710,310,62.19,0
L594,7.31,134,23,46,130,18,34.41,290,832,1300,210,66.73,0
L595,7.23,224,13,32,108,16,117.69,113,811,1267,133,62.95,0
L596,7.13,54,21,36,196,19,138.3,147,736,1150,176,63.67,0
L597,7.45,136,35,49,182,26,123.09,33,902,1410,266,79.31,0
L598,7.45,116,41,86,200,5,14.81,713,1001,1564,383,81.17,0
L599,7.11,196,32,23,193,16,128.74,233,781,1220,189,70.40,0
L600,7.37,110,50,59,104,10,93.53,198,925,1445,353,72.16,0
L601,7.21,86,38,63,142,9,39.73,167,1021,1595,314,66.95,0
L602,7.2,88,67,94,163,18,117.11,160,710,1110,510,87.90,0
L603,7.46,84,45,85,154,32,19.63,113,1123,1755,397,91.07,0
L604,7.24,108,46,96,168,12,54.11,214,806,1260,429,78.07,0
L605,7.26,220,36,52,56,5,53.89,34,954,1490,278,61.82,0
L606,7.55,124,49,79,60,28,167.43,67,973,1520,399,90.65,0
L607,7.25,150,36,86,36,22,49.48,78,1069,1670,363,80.04,0
L608,7.12,118,34,80,148,6,64.18,89,1197,1870,340,70.85,0
L609,6.86,208,46,56,169,13,182.21,68,1126,1760,329,83.44,0
L610,7.29,52,36,65,144,12,187.13,86,960,1500,310,71.83,0
L611,7.33,460,45,59,122,22,137.87,191,864,1350,332,97.04,0
L612,7.34,134,46,77,102,5,44.82,62,790,1235,382,64.88,0
L613,7.16,74,22,86,280,13,128.42,47,1171,1830,305,77.42,0
L614,7.01,102,26,46,508,12,136.65,32,2035,3180,222,91.94,0
L615,7.5,112,18,26,200,42,88.6,155,280,437,139,71.94,0
L616,6.82,90,21,36,288,10,44.41,363,220,343,176,52.42,0
L617,7.5,62,30,67,168,8,118.83,552,332,519,291,64.12,0
L618,7.94,68,60,70,112,9,119.63,351,290,453,422,69.37,0
L619,8,50,45,61,448,8,139.46,246,361,564,337,71.76,0
L620,7.98,110,53,78,67,10,59.04,164,313,489,413,64.34,0
L621,7.43,64,29,63,142,22,157.57,183,1050,1640,277,79.36,0
L622,7.49,138,36,94,282,11,158.07,50,1184,1850,383,86.67,0
L623,7.26,68,26,56,197,9,146.42,171,313,489,247,56.43,0
L624,7.42,72,40,73,184,10,49.9,149,343,536,347,60.46,0
L625,7.25,112,45,60,164,20,104.67,150,394,615,335,71.37,0
L626,7.43,390,48,96,130,5,93.83,182,310,485,437,78.54,0
L627,7.85,194,36,96,84,40,34.81,41,260,406,388,85.43,0
L628,7.45,75,51,62,143,13,142,41,280,437,365,64.08,0
L629,7.66,110,55,84,130,7,153.24,33,275,429,436,66.76,0
L630,7.5,162,34,63,89,11,141,33,309,483,297,60.17,0
L631,8.01,63,41,90,167,11,63.25,43,284,444,393,62.22,0
L632,7.79,68,36,60,172,8,123.25,121,316,494,298,57.35,0
L633,7.43,96,33,92,123,7,145.35,31,992,1550,366,71.57,0
L634,7.67,59,28,49,46,6,136.48,58,810,1265,238,54.21,0
L635,7.78,100,21,84,44,5,143.78,56,845,1320,296,60.94,0
L636,7.26,56,40,92,56,11,151.09,25,995,1555,394,72.92,0
L637,7.14,108,23,59,105,5,158.39,26,851,1330,242,58.47,0
L638,8,68,31,76,87,13,165.7,23,902,1410,317,69.85,0
L639,8.33,95,29,80,88,6,173,29,771,1205,319,64.65,0
L640,8.33,86,28,72,100,6,180.31,32,755,1180,295,62.86,0
L641,8.03,49,22,81,95,11,187.61,29,872,1363,293,66.61,0
L642,7.56,66,35,60,124,40,194.92,45,819,1280,294,89.42,0
L643,7.4,49,37,69,188,19,202.22,49,835,1305,325,77.58,0
L644,7.28,96,34,48,154,16,28.95,304,858,1340,260,68.36,0
L645,7.12,328,23,59,111,26,116.45,108,1004,1568,242,86.56,0
L646,7.24,30,31,52,188,28,135.95,151,742,1160,257,75.53,0
L647,7.3,156,36,57,180,33,118.83,314,883,1380,290,91.81,0
L648,7.32,172,37,63,189,9,11.56,672,1017,1589,310,79.93,0
L649,7.23,252,38,57,197,19,124.21,231,734,1147,299,83.01,0
L650,7.42,114,41,81,114,18,91.18,203,947,1480,371,80.67,0
L651,6.98,70,30,89,138,12,35.47,170,1030,1610,346,70.84,0
L652,7.14,54,88,92,165,23,113.85,155,712,1113,592,96.00,0
L653,7.4,60,44,86,142,36,14.39,118,1142,1785,396,92.66,0
L654,7.28,236,36,84,168,13,49.85,249,819,1280,358,79.91,0
L655,7.56,172,32,87,52,5,49.33,34,986,1540,349,65.77,0
L656,7.64,72,32,76,64,32,162.09,70,957,1495,321,85.26,0
L657,7.2,90,26,59,40,29,43.84,85,1062,1660,254,74.06,0
L658,7.22,92,32,57,128,13,59.64,76,1184,1850,274,68.66,0
L659,6.92,304,14,49,165,19,178.65,62,1114,1740,180,80.63,0
L660,7.51,136,15,55,144,9,181.89,65,963,1505,199,64.62,0
L661,7.47,332,26,63,120,16,132.61,193,860,1343,264,81.45,0
L662,7.25,148,32,84,100,3,39.93,63,794,1240,341,60.77,0
L663,7.16,104,35,61,287,16,122.18,43,1178,1840,296,80.08,0
L664,7.02,136,21,49,524,20,132.08,31,2058,3215,209,99.23,0
L665,7.37,99,14,63,198,26,83.24,196,271,424,215,65.47,0
L666,6.71,83,16,87,290,11,40.22,391,209,326,283,61.48,0
L667,7.83,56,25,49,176,8,113.51,1159,323,505,225,69.96,0
L668,7.89,54,14,86,120,6,113.41,342,276,432,272,55.02,0
L669,8.1,114,16,74,456,8,132.3,269,348,543,251,68.58,0
L670,7.56,192,25,96,59,24,53.9,168,315,492,343,72.88,0
L671,7.47,56,35,72,128,18,152.25,183,1043,1630,324,78.84,0
L672,7.13,228,18,99,200,9,153.92,52,1152,1800,321,81.22,0
L673,7.25,99,37,63,203,10,140.18,179,298,465,310,63.15,0
L674,7.49,109,39,81,184,11,44.76,154,324,506,363,63.79,0
L675,7.37,110,32,76,165,28,99.49,153,377,589,321,76.19,0
L676,7.85,56,29,89,126,12,88.59,189,265,414,342,60.92,0
L677,7.7,156,18,76,92,14,29.32,41,271,424,264,54.58,0
L678,7.53,110,38,92,139,65,136.76,42,314,490,386,107.25,0
L679,7.83,122,13,63,134,45,147.98,35,283,442,211,79.30,0
L680,7.65,156,39,61,91,58,133.75,33,320,500,313,96.70,0
L681,8.06,66,32,85,164,43,56.12,42,300,469,344,82.74,0
L682,7.98,91,38,48,176,35,115.59,44,326,509,276,75.80,0
L683,7.73,109,39,100,112,24,137.16,29,998,1560,410,88.08,0
L684,7.88,68,32,56,50,27,127.75,95,867,1355,272,74.64,0
L685,8.04,152,35,69,46,52,134.53,91,808,1263,316,100.18,0
L686,7.27,73,19,92,52,84,141.3,29,1002,1565,308,122.19,0
L687,7.21,129,36,73,73,24,148.08,26,838,1310,330,78.97,0
L688,8.23,59,38,81,85,103,154.85,28,858,1340,359,139.82,0
L689,8.49,86,19,56,88,43,161.63,27,806,1260,218,84.64,0
L690,8.36,94,28,36,100,48,168.4,31,772,1207,205,87.69,0
L691,8.09,53,23,85,95,49,175.18,27,847,1323,307,95.72,0
L692,7.44,83,26,49,127,26,181.95,55,797,1245,229,73.86,0
L693,7.34,71,34,52,204,16,188.73,48,653,1020,270,68.93,0
L694,6.83,15.54,6.03,35.34,1.9,15.1,175,1,159.25,245,0,34.47,1
L695,7.84,39,4.9,23.8,1.08,1.7,139,8,150,262,0,23.22,1
L696,8.67,13.6,6.92,27.94,0.6,10.32,145,1.8,188.5,290,0,30.83,1
L697,8.4,25,5.35,36,0,0.9,170.6,1.6,204,295,0,25.93,1
L698,8.51,30,1.95,8,2,2.6,90,1.3,124,204,0,18.84,1
L699,7.44,25.4,2.8,8.4,2.2,7.63,93,0.8,203,313,0,22.96,1
L700,8.81,34.5,4.51,0.97,2.5,1.86,97.6,0.5,214,335,0,20.11,1
L701,6.12,2.78,2.12,24.62,4.2,2.94,85,0.8,169,260,0,18.14,1
L702,6.07,3.56,2.14,25.1,0.8,3.12,75,0.5,312,480,0,20.02,1
L703,5.62,1.69,1.98,6.09,6.7,1.39,15,0.8,45.5,70,0,9.11,1
L704,5.37,7.45,1.89,23.41,2.1,3.92,95,0.8,58.5,90,0,16.84,1
L705,6.14,3.14,2.29,19.81,12.5,6.52,60,0.7,104,160,0,18.42,1
L706,6.4,2.45,2.23,25.55,1.6,1.9,75,1.5,91,140,0,15.97,1
L707,5.53,0.08,2.28,12.5,2.7,0.15,48.8,1.5,87,171.9,0,11.14,1
L708,6.31,2.54,2.94,18.07,0.7,2.29,97.3,1.6,135,264.4,0,17.40,1
L709,6.17,4.6,2.81,17.4,1.3,1.54,60.2,6.2,88,174,0,14.26,1
L710,5.83,1.73,2.37,14.6,0.5,0.42,52,1.1,66,130.7,0,11.66,1
L711,6.88,0.08,3.4,19.4,3.7,1.74,85.2,1.1,172,334.9,0,17.84,1
L712,5.76,0.08,3.44,18.4,1.3,2.13,90.4,0.84,102,200.4,0,15.88,1
L713,5.69,0.1,3.12,18.7,1.7,1.14,86.1,1.4,100,196.8,0,14.84,1
L714,5.99,0.19,3.18,27.1,2.7,9.06,125.4,1.2,159,309.4,0,25.01,1
L715,5.64,2.09,1.99,18.55,0.8,2.35,50,5,48.75,75,0,12.93,1
L716,5.53,1.67,1.8,3.58,1.7,1.45,15.5,0.8,26,40,0,8.30,1
L717,6,0.8,3.87,23.3,1.2,1.24,91.2,1.1,97,189.6,0,16.08,1
L718,5.31,0.08,2.42,14.1,0.8,5.13,50.2,2.4,24,48.67,0,13.81,1
